Store Name,EAN/PLU,Root Article Code,LU,LV,SV Code,Description,Must Stock,Delisted,Store Selling Price,Cost Price,Vat,Case Qty,Margin %,DRS,Supplier,Article Linking
241 - RIALTO - O'LEARY,986659,1868660,PCK,0,0,EXTRA REFRESHERS BOTTLE MXD HOD 67GRM,N,,3.00,329.00,23.00%,180,25.06%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,4009900544580,1868660,PCK,1,1,EXTRA REFRESHERS STRAWBERRY CITRUS 67GRM,N,,4.00,14.28,23.00%,6,26.81%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,989039,1868660,PCK,2,2,WRIGLEYS EXTRA REFRESHER GUM BOTTLE 67GRM,N,,3.00,329.00,23.00%,180,25.06%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,989470,1868660,PCK,3,3,WRIGLEYS EXTRA REFRESHER GUM MIXED 64GRM,N,,3.00,329.00,23.00%,180,25.06%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,989881,1868660,PCK,4,4,WRIGLEYS EXTRA & REFRESHERS GUM 67GRM,N,,3.00,307.20,23.00%,168,25.03%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5060337980890,1898239,PCK,0,0,GUM,N,,2.00,0.01,23.00%,1,99.39%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,987822,1911316,PCK,0,0,EXTRA CHEWING GUM MIXED HOD 1PCE,N,,3.00,329.10,23.00%,180,25.04%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,988850,1943173,PCK,0,0,WRIGLEYS EXTRA AIRWAVE CHEW GUM HOD 1PCE,N,,3.00,329.00,23.00%,180,25.06%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,8000500330067,1015571,PCK,5,1,TIC TAC FRESH MINT 18GRM,N,,1.30,13.98,23.00%,24,44.89%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,*
241 - RIALTO - O'LEARY,80310839,1015571,PCK,6,3,TIC TAC LIME ORANGE 18GRM,N,,1.30,13.98,23.00%,24,44.89%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,4008400390529,1032815,PCK,2,0,TIC TAC LIME AND ORANGE 49GRM,N,,2.85,28.08,23.00%,24,49.51%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
