Store Name,Department,Sub Department,Commodity Code,Family Group,EAN/PLU,Root Article Code,LU,LV,SV Code,Description,Size,Must Stock,Delisted,Store Selling Price,Cost Price,Vat,Case Qty,Margin %,DRS,Supplier,Article Linking
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,7622201693688,1866389,PCK,0,0,TOBLERONE TRUFFLES CARTON,180 GRM,N,,9.00,25.09,23.00%,8,57.14%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,7622202033315,1866389,PCK,1,1,TOBLERONE TRUFFLES,240GRM,Y,,12.50,48.17,23.00%,6,21.00%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,*
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,7622202332708,1866389,PCK,2,2,TOBLERONE GOLDEN CARAMEL TRUFFLES,180GRM,N,,9.00,25.09,23.00%,8,57.14%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,7622202237713,1866389,PCK,3,3,TOBLERONE TRUFFLES ASSORTED BOX,180GRM,N,,9.00,25.09,23.00%,8,57.14%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,7622202379116,1866389,PCK,4,4,TOBLERONE BISCOFF TRUFFLES,180GRM,N,,10.45,53.12,23.00%,8,21.84%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5099872018461,1867415,PCK,0,0,LIR BLOND TRUFFLE BOX,120GRM,Y,,6.00,28.05,23.00%,8,28.12%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,*
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5099872018423,1867415,PCK,1,1,LIR CHOC COLLECTION,185GRM,N,,11.00,66.23,23.00%,10,25.94%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5099872018447,1868477,PCK,0,0,LIR GIFT WRAP CHOC COLLECTION,225GRM,Y,,14.00,67.50,23.00%,8,25.87%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,*
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5012035971830,1877548,PCK,0,0,HARIBO BOX OF HAPPY GIFT BOX,120GRM,N,,2.00,7.80,23.00%,6,20.05%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,988253,1918588,PCK,0,0,LINDT MIXED SUMMER HOD,200GRM,N,,7.50,311.04,23.00%,64,20.30%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
